time,seconds_elapsed,z,y,x
1772594793998617000,0.2216171875,-0.2531623840332031,0.0018547549843788147,-0.004133954644203186
1772594794018758000,0.2417578125,-0.2275104522705078,-0.0010702423751354218,-0.009175091981887817
1772594794039052000,0.262052001953125,-0.2165203094482422,-0.0007899478077888489,-0.008503764867782593
1772594794059316000,0.28231591796875,-0.17900943756103516,-0.000561792403459549,-0.006894707679748535
1772594794079580000,0.302579833984375,-0.14858436584472656,-0.0003336220979690552,-0.005553603172302246
1772594794099843000,0.322843017578125,-0.1238555908203125,-0.00009246775880455971,-0.004662513732910156
1772594794120107000,0.34310693359375,-0.09714508056640625,-0.000028613721951842308,-0.003544151782989502
1772594794140371000,0.363370849609375,-0.08578872680664062,-0.00003742240369319916,-0.0031037628650665283
1772594794160634000,0.383634033203125,-0.05787372589111328,0.000016094651073217392,-0.0020853281021118164
1772594794180898000,0.40389794921875,-0.034821510314941406,0.00000229664146900177,-0.0012274384498596191
1772594794201162000,0.424161865234375,-0.11858558654785156,-0.00016255583614110947,-0.0044227540493011475
1772594794221425000,0.4444248046875,-0.09704971313476562,-0.00008128583431243896,-0.0035705864429473877
1772594794241689000,0.464689208984375,-0.0752859115600586,-0.000031657516956329346,-0.002733886241912842
1772594794261953000,0.484953125,-0.05554389953613281,-0.000005370937287807465,-0.0019921958446502686
1772594794282216000,0.5052158203125,-0.037077903747558594,0.0000020137522369623184,-0.0013185739517211914
1772594794302480000,0.52547998046875,-0.022863388061523438,0.000002830522134900093,-0.0008056163787841797
1772594794322744000,0.545744140625,-0.0128936767578125,0.000002089422196149826,-0.00045236945152282715
1772594794343007000,0.566007080078125,-0.006470680236816406,0.0000015795230865478516,-0.0002269148826599121
1772594794363271000,0.58627099609375,-0.004979133605957031,0.0000014139804989099503,-0.0001741647720336914
1772594794383535000,0.60653515625,-0.006916999816894531,0.0000026714988052845,-0.0002409517765045166
1772594794403798000,0.626798095703125,-0.012254714965820312,0.000005634501576423645,-0.000422745943069458
1772594794424062000,0.64706201171875,-0.01881694793701172,0.000010780524462461472,-0.0006459653377532959
1772594794444326000,0.667325927734375,-0.027242660522460938,0.00001982739195227623,-0.0009352564811706543
1772594794464589000,0.687589111328125,-0.03837108612060547,0.00003761611878871918,-0.001317441463470459
1772594794484853000,0.70785302734375,-0.05222034454345703,0.00006417371332645416,-0.001789689064025879
1772594794505117000,0.728116943359375,-0.06450462341308594,0.00009452179074287415,-0.0022026896476745605
1772594794525381000,0.748381103515625,-0.07632732391357422,0.00013848021626472473,-0.002590656280517578
1772594794545644000,0.76864404296875,-0.0860452651977539,0.00018309243023395538,-0.00288999080657959
1772594794565908000,0.788907958984375,-0.09405326843261719,0.0002286769449710846,-0.003141343593597412
1772594794586172000,0.809171875,-0.10108375549316406,0.0002727042883634567,-0.003376513719558716
1772594794606435000,0.82943505859375,-0.10628795623779297,0.0003003738820552826,-0.003564506769180298
1772594794626699000,0.849698974609375,-0.11029911041259766,0.0003227684646844864,-0.003707796335220337
1772594794646963000,0.869962890625,-0.11214256286621094,0.00033543258905410767,-0.003771454095840454
1772594794667226000,0.89022607421875,-0.11070823669433594,0.0003375709056854248,-0.003734499216079712
1772594794687490000,0.910489990234375,-0.10595035552978516,0.00033895671367645264,-0.003582298755645752
1772594794707754000,0.93075390625,-0.0984487533569336,0.00033188238739967346,-0.003328680992126465
1772594794728017000,0.951016845703125,-0.0884389877319336,0.0002994537353515625,-0.0029891133308410645
1772594794748281000,0.971281005859375,-0.07677555084228516,0.0002647489309310913,-0.002588927745819092
1772594794768545000,0.991544921875,-0.06366634368896484,0.00022299960255622864,-0.0021363794803619385
1772594794788808000,1.011807861328125,-0.0494842529296875,0.0001803264021873474,-0.0016494989395141602
1772594794809072000,1.032072021484375,-0.03352546691894531,0.000128820538520813,-0.0011088252067565918
1772594794829336000,1.052336181640625,-0.01619243621826172,0.00006581097841262817,-0.0005301535129547119
1772594794849599000,1.072598876953125,0.0009241104125976562,-0.000003948807716369629,0.00002995133399963379
1772594794869863000,1.09286279296875,0.016928672790527344,-0.00007528439164161682,0.0005423128604888916
1772594794890127000,1.113127197265625,0.03150749206542969,-0.0001461431384086609,0.000996023416519165
1772594794910390000,1.13339013671875,0.04432106018066406,-0.0002090856432914734,0.0013892650604248047
1772594794930654000,1.153654052734375,0.054935455322265625,-0.000265464186668396,0.0017086267471313477
1772594794950918000,1.17391796875,0.061636924743652344,-0.000295490026473999,0.001913696527481079
1772594794971181000,1.19418115234375,0.06500816345214844,-0.00030273571610450745,0.002020597457885742
1772594794991445000,1.214445068359375,0.06498241424560547,-0.0002847909927368164,0.0020187795162200928
1772594795011709000,1.234708984375,0.06151580810546875,-0.000253923237323761,0.0019111931324005127
1772594795031972000,1.25497216796875,0.05550861358642578,-0.00021166354417800903,0.0017254352569580078
1772594795052236000,1.275236083984375,0.046245574951171875,-0.0001671425998210907,0.0014341175556182861
1772594795072500000,1.2955,0.03420257568359375,-0.00011969730257987976,0.001056283712387085
1772594795092763000,1.315762939453125,0.019733428955078125,-0.00006515905261039734,0.0006111264228820801
1772594795113027000,1.336027099609375,0.0035982131958007812,-0.000011336058378219604,0.0001118779182434082
1772594795133291000,1.356291015625,-0.011851310729980469,0.000036502256989479065,-0.00037035346031188965
1772594795153554000,1.376553955078125,-0.025277137756347656,0.00007716193795204163,-0.0007904469966888428
