time,seconds_elapsed,z,y,x
1772389588512260900,0.1772607421875,1.8030000925064087,-9.81195068359375,1.6770000457763672
1772389588592599000,0.25759912109375,1.5559500455856323,-9.670950889587402,2.0269501209259033
1772389588612655900,0.27765576171875,1.6140000820159912,-9.580050468444824,2.080049991607666
1772389588632713000,0.297712890625,1.7670000791549683,-9.621000289916992,2.0029501914978027
1772389588652770000,0.31777001953125,1.8679500818252563,-9.673050880432129,2.0370001792907715
1772389588672827000,0.337826904296875,2.0470499992370605,-9.726000785827637,1.8330000638961792
1772389588692884000,0.357884033203125,1.9009500741958618,-9.693000793457031,1.7160000801086426
1772389588712940800,0.37794091796875,1.4610000848770142,-9.712050437927246,2.0050501823425293
1772389588732998000,0.397997802734375,1.3410000801086426,-9.705000877380371,1.9650001525878906
1772389588753054700,0.4180546875,1.446000099182129,-9.721050262451172,1.7400001287460327
1772389588773111600,0.438111572265625,1.6260000467300415,-9.637950897216797,1.6990500688552856
1772389588793168600,0.458168701171875,1.8720000982284546,-9.661050796508789,1.7920501232147217
1772389588813225700,0.478225830078125,1.9350000619888306,-9.717000007629395,1.8619500398635864
1772389588833282600,0.498282470703125,1.8960001468658447,-9.700050354003906,1.921950101852417
1772389588853339400,0.51833935546875,1.8840000629425049,-9.646950721740723,1.8349500894546509
1772389588873396500,0.538396484375,1.8600001335144043,-9.657000541687012,1.752000093460083
1772389588893453300,0.558453369140625,1.915950059890747,-9.621000289916992,1.9309500455856323
1772389588913510400,0.578510498046875,2.101950168609619,-9.547050476074219,1.9720500707626343
1772389588933567500,0.5985673828125,2.1450002193450928,-9.574950218200684,1.7440500259399414
1772389588953624300,0.618624267578125,1.699950098991394,-9.802950859069824,1.5910500288009644
1772389588973681400,0.638681396484375,1.2910500764846802,-9.77595043182373,1.5529500246047974
1772389588993738200,0.65873828125,1.2570000886917114,-9.738000869750977,1.6630500555038452
1772389589013795000,0.678795166015625,1.4820001125335693,-9.724050521850586,1.752000093460083
1772389589033852200,0.69885205078125,1.7700001001358032,-9.729000091552734,1.7539501190185547
1772389589053909000,0.718908935546875,1.9800001382827759,-9.769050598144531,1.7950501441955566
