time,seconds_elapsed,z,y,x
1772389374639958500,0.30295849609375,1.2090001106262207,-9.468000411987305,2.6230502128601074
1772389374660015000,0.32301513671875,0.9820500612258911,-9.550950050354004,2.5230000019073486
1772389374680072000,0.343072021484375,0.9769500494003296,-9.693000793457031,2.259000062942505
1772389374700128800,0.363128662109375,1.3650000095367432,-9.78795051574707,2.209050178527832
1772389374720185600,0.383185546875,1.5709500312805176,-9.870000839233398,2.2260000705718994
1772389374740242200,0.4032421875,1.5780000686645508,-9.642000198364258,2.3740501403808594
1772389374760299000,0.423299072265625,1.7359501123428345,-9.541950225830078,2.608950138092041
1772389374780355800,0.44335595703125,1.915950059890747,-9.556050300598145,2.5819501876831055
1772389374800412700,0.46341259765625,1.9800001382827759,-9.5149507522583,2.6110501289367676
1772389374820469500,0.483469482421875,1.9440001249313354,-9.586950302124023,2.6020500659942627
1772389374840526300,0.5035263671875,2.052000045776367,-9.693000793457031,2.427000045776367
1772389374860583200,0.523583251953125,2.053950071334839,-9.610950469970703,2.4600000381469727
1772389374880639700,0.5436396484375,1.908000111579895,-9.594000816345215,2.530050039291382
1772389374900696600,0.563696533203125,1.7620500326156616,-9.568050384521484,2.341050148010254
1772389374920753400,0.58375341796875,1.7340000867843628,-9.616050720214844,2.2330501079559326
1772389374940810200,0.603810302734375,1.759950041770935,-9.541950225830078,2.2380001544952393
1772389374960866800,0.62386669921875,1.9590001106262207,-9.532050132751465,2.416950225830078
1772389374980923600,0.643923583984375,1.831950068473816,-9.609000205993652,2.5699501037597656
1772389375000980500,0.66398046875,1.6230000257492065,-9.547050476074219,2.3910000324249268
1772389375021037300,0.684037353515625,1.5610500574111938,-9.574950218200684,1.9669500589370728
1772389375041094100,0.70409423828125,1.662000060081482,-9.75195026397705,1.8790501356124878
1772389375061151000,0.72415087890625,1.7500500679016113,-9.739950180053711,2.137050151824951
1772389375081207800,0.744207763671875,1.815000057220459,-9.475050926208496,2.4000000953674316
1772389375101264600,0.7642646484375,1.9320000410079956,-9.54900074005127,2.5060501098632812
1772389375121321500,0.784321533203125,1.810050129890442,-9.609000205993652,2.287950038909912
1772389375141378000,0.8043779296875,1.7220001220703125,-9.562950134277344,2.3209500312805176
1772389375161435000,0.824434814453125,1.8390001058578491,-9.508050918579102,2.3809502124786377
1772389375181491700,0.84449169921875,2.076000213623047,-9.53895092010498,2.4870002269744873
1772389375201548500,0.864548583984375,2.284050226211548,-9.541950225830078,2.515050172805786
1772389375221605400,0.88460546875,2.244000196456909,-9.637950897216797,2.3359501361846924
1772389375241662200,0.904662109375,1.798050045967102,-9.666000366210938,2.107950210571289
1772389375261719000,0.924718994140625,1.4080500602722168,-9.541950225830078,2.118000030517578
1772389375281775900,0.94477587890625,1.4149500131607056,-9.48900032043457,2.3359501361846924
1772389375301832400,0.96483251953125,1.675950050354004,-9.433950424194336,2.4240000247955322
1772389375321889500,0.9848896484375,1.915950059890747,-9.535050392150879,2.367000102996826
1772389375341946400,1.0049462890625,2.053950071334839,-9.657000541687012,2.2980000972747803
1772389375362003000,1.0250029296875,1.963050127029419,-9.705000877380371,2.11995005607605
